candidate_id,rank,score,reasoning
CAND_0015105,1,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0036136,2,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0026448,3,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0023387,4,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0071600,5,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0084028,6,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0006929,7,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0089295,8,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0021357,9,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0033760,10,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0001337,11,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0043108,12,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0084089,13,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0037752,14,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0024895,15,0.7309,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.09%."
CAND_0080776,16,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0017492,17,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0007558,18,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0033532,19,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0014099,20,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0038599,21,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0047975,22,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0023368,23,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0010461,24,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0008988,25,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0057101,26,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0089690,27,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0066452,28,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0092560,29,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0095925,30,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0072941,31,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0021955,32,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0033155,33,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0047246,34,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0098470,35,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0095140,36,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0074262,37,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0028068,38,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0052176,39,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0011120,40,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0066927,41,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0002728,42,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0015673,43,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0087262,44,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0049247,45,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0056795,46,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0074381,47,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0022599,48,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0038881,49,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0089481,50,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0000001,51,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0066461,52,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0056563,53,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0009995,54,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0056049,55,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0034330,56,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0088067,57,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0000878,58,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0024404,59,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0083615,60,0.7308,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.08%."
CAND_0041357,61,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0088727,62,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0022691,63,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0029614,64,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0032593,65,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0074752,66,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0046231,67,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0001277,68,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0018996,69,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0056952,70,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0007241,71,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0081490,72,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0079585,73,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0018486,74,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0032737,75,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0088285,76,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0058098,77,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0097018,78,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0068756,79,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0035481,80,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0060418,81,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0045910,82,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0067106,83,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0096732,84,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0053191,85,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0060382,86,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0001729,87,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0081281,88,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0042670,89,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0072304,90,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0015522,91,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0068739,92,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0072685,93,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0056845,94,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0009184,95,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0058076,96,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0077276,97,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0062230,98,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0051441,99,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
CAND_0037331,100,0.7307,"Candidate demonstrated exceptional semantic alignment with the job description's core technical and behavioral requirements, achieving a normalized cross-attention match probability of 73.07%."
